AgentSubType,ArmourId
admiralnelson_bret_lord_2handed_agent_key,n_naked
admiralnelson_bret_lord_2handed_agent_key,n_midsummer
admiralnelson_bret_lord_2handed_agent_key,n_midsummer_c
admiralnelson_bret_lord_2handed_agent_key,n_fortune
admiralnelson_bret_lord_2handed_agent_key,n_fortune_c
admiralnelson_bret_lord_2handed_agent_key,n_fortune2
admiralnelson_bret_lord_2handed_agent_key,n_gilded
admiralnelson_bret_lord_2handed_agent_key,n_gilded_c1
admiralnelson_bret_lord_2handed_agent_key,n_gilded_c2
admiralnelson_bret_lord_2handed_agent_key,n_grail
admiralnelson_bret_lord_2handed_agent_key,n_destiny
admiralnelson_bret_lord_2handed_agent_key,n_destiny_c1
admiralnelson_bret_lord_2handed_agent_key,n_destiny_c2
admiralnelson_bret_lord_2handed_agent_key,n_steel
admiralnelson_bret_lord_2handed_agent_key,n_scale
admiralnelson_bret_lord_2handed_agent_key,n_fortune
admiralnelson_bret_lord_2handed_agent_key,n_armour_1
admiralnelson_bret_lord_2handed_agent_key,n_armour_4
admiralnelson_bret_lord_2handed_agent_key,n_armour_7
admiralnelson_bret_lord_2handed_agent_key,n_armour_8
