AgentSubType,ArmourId
wh_main_brt_paladin,n_naked
wh_main_brt_paladin,n_midsummer
wh_main_brt_paladin,n_midsummer_c
wh_main_brt_paladin,n_fortune
wh_main_brt_paladin,n_fortune_c
wh_main_brt_paladin,n_fortune2
wh_main_brt_paladin,n_gilded
wh_main_brt_paladin,n_gilded_c1
wh_main_brt_paladin,n_gilded_c2
wh_main_brt_paladin,n_grail
wh_main_brt_paladin,n_destiny
wh_main_brt_paladin,n_destiny_c1
wh_main_brt_paladin,n_destiny_c2
wh_main_brt_paladin,n_steel
wh_main_brt_paladin,n_scale
wh_main_brt_paladin,n_fortune
wh_main_brt_paladin,n_armour_1
wh_main_brt_paladin,n_armour_4
wh_main_brt_paladin,n_armour_7
wh_main_brt_paladin,n_armour_8
