AgentSubType,ArmourId
wh_main_brt_lord,n_naked
wh_main_brt_lord,n_midsummer
wh_main_brt_lord,n_midsummer_c
wh_main_brt_lord,n_fortune
wh_main_brt_lord,n_fortune_c
wh_main_brt_lord,n_gilded
wh_main_brt_lord,n_gilded_c1
wh_main_brt_lord,n_gilded_c2
wh_main_brt_lord,n_grail
wh_main_brt_lord,n_destiny
wh_main_brt_lord,n_destiny_c1
wh_main_brt_lord,n_destiny_c2
wh_main_brt_lord,n_steel
wh_main_brt_lord,n_scale
wh_main_brt_lord,n_fortune
wh_main_brt_lord,n_armour_1
wh_main_brt_lord,n_armour_4
wh_main_brt_lord,n_armour_7
wh_main_brt_lord,n_armour_8
